Filing - Patent Issued Date,Department
28-Jun-2011,CSENG ECE Admin
28-Jun-2011,CSENG ECE Admin
05-Jul-2011,CSENG Mech Engineering Admin
05-Jul-2011,CSENG Mech Engineering Admin
19-Jul-2011,CBS Molecular Biology
19-Jul-2011,CBS Molecular Biology
19-Jul-2011,CSENG Chem Eng & Mat Sci Admin
19-Jul-2011,Outside U of M
19-Jul-2011,Outside U of M
19-Jul-2011,Outside U of M
19-Jul-2011,Outside U of M
19-Jul-2011,Outside U of M
02-Aug-2011,GRAD Dean's Office Admin
02-Aug-2011,CSENG CS&E Administration
02-Aug-2011,CSENG ECE Admin
02-Aug-2011,CSENG ECE Admin
02-Aug-2011,CSENG ECE Admin
02-Aug-2011,CSENG Mech Engineering Admin
02-Aug-2011,CSENG Mech Engineering Admin
02-Aug-2011,CSENG Mech Engineering Admin
02-Aug-2011,CSENG Mech Engineering Admin
02-Aug-2011,CSENG Mech Engineering Admin
02-Aug-2011,CSENG Mech Engineering Admin
02-Aug-2011,CSENG Mech Engineering Admin
02-Aug-2011,"Drug Design, Center for"
02-Aug-2011,CoP Pharmaceutics
02-Aug-2011,CoP Pharmaceutics
02-Aug-2011,CoP Pharmaceutics
02-Aug-2011,MICRO Microbiology Admin
16-Aug-2011,CSENG Chem Eng & Mat Sci Admin
16-Aug-2011,CSENG Chemistry Administration
30-Aug-2011,Dent Primary Care Admin
30-Aug-2011,Outside U of M
06-Sep-2011,CSENG Mech Engineering Admin
06-Sep-2011,CoP Pharmaceutics
06-Sep-2011,Dent Diag & Bio Science Admin
06-Sep-2011,Dent Restorative Science Admin
06-Sep-2011,Outside U of M
06-Sep-2011,Outside U of M
06-Sep-2011,Outside U of M
13-Sep-2011,CSENG Mech Engineering Admin
13-Sep-2011,CSENG Mech Engineering Admin
13-Sep-2011,CSENG Mech Engineering Admin
13-Sep-2011,CSENG Mech Engineering Admin
13-Sep-2011,Outside U of M
20-Sep-2011,NRRI Minerals-Coleraine
20-Sep-2011,NRRI Minerals-Coleraine
20-Sep-2011,NRRI Minerals-Coleraine
20-Sep-2011,NRRI Minerals-Coleraine
20-Sep-2011,NRRI Minerals-Coleraine
20-Sep-2011,NRRI Minerals-Coleraine
20-Sep-2011,NRRI Minerals-Coleraine
20-Sep-2011,NRRI Minerals-Coleraine
27-Sep-2011,CFANS Administration
27-Sep-2011,"Bioprod&Biosys Eng, Dept of"
27-Sep-2011,FM Family Medicine Dept Admin
27-Sep-2011,FM Family Medicine Dept Admin
04-Oct-2011,CSENG Mech Engineering Admin
04-Oct-2011,CSENG Mech Engineering Admin
04-Oct-2011,CSENG Mech Engineering Admin
04-Oct-2011,CSENG Mech Engineering Admin
04-Oct-2011,CSENG Mech Engineering Admin
04-Oct-2011,CSENG Biomedical Eng Admin
04-Oct-2011,Outside U of M
04-Oct-2011,Outside U of M
04-Oct-2011,Outside U of M
04-Oct-2011,Outside U of M
04-Oct-2011,Outside U of M
04-Oct-2011,Outside U of M
01-Nov-2011,CBS Molecular Biology
15-Nov-2011,"Horticultural Sci, Dept of"
15-Nov-2011,"Horticultural Sci, Dept of"
22-Nov-2011,CSENG ECE Admin
22-Nov-2011,CSENG ECE Admin
29-Nov-2011,Radiology Administration
29-Nov-2011,Radiology Administration
29-Nov-2011,Radiology Administration
29-Nov-2011,Radiology Administration
06-Dec-2011,Radiology Administration
06-Dec-2011,Radiology Administration
06-Dec-2011,Radiology Administration
13-Dec-2011,LMP Administration
13-Dec-2011,MED Medicine Dept Admin
13-Dec-2011,MED Medicine Dept Admin
27-Dec-2011,GRAD Dean's Office Admin
27-Dec-2011,CSENG Mech Engineering Admin
27-Dec-2011,OPH Ophthalmology Admin
03-Jan-2012,CSENG ECE Admin
03-Jan-2012,CSENG ECE Admin
